ISBN,Title,Description ,,Author,Tags,;,Topics
1558321330,The Joy of Pickling: 200 Flavor-Packed Recipes for All Kinds of Produce from Garden or Market ," is full of recipes for pickling everything you can think of.  It includes an A-Z listing of vegetable pickling recipes as well as sweet pickles (even fruit!) and chutneys, salsas, relishes, and pickled meat, fish & eggs.  Great for experimenting with all kinds of produce.",, Linda Zeidrich,"fermentation, canning",;,Food & Gardening 
1567310443,Rodale's Basic Natural Foods Cookbook ," Editor, is a sort of ""Betty Crocker"" book that is more savvy regarding healthy ingredients.  It covers cooking basics and has recipes for everything from appetizers to desserts and beverages.  A nice starter book for a new cook, or update for a new way of eating.",, Charles Gerras,cookbook,;,Food & Gardening 
1570615349,Growing Vegetables West of the Cascades ," are recommended reading for anyone interested in growing their own food.  Growing Vegetables is a detailed primer for growing vegetables in our climate, and Gardening takes you to the next level with instructions for growing healthy & nutritious plants from seed without irrigation by using human labor & hand tools.  Also includes great information on compost & fertilizers.",, Steve Solomon,"gardening, skills",;,Food & Gardening
1580081754,Cultivating Gourmet and Medicinal Mushrooms ," a bible of mushroom growing, and even has a chapter on ""Permaculture with a mycological twist.""  It covers a range of topics from outdoor growing systems to different growing mediums and describes the types of mushrooms most suitable for cultivation and their individual needs.",, Paul Stamets ,"fungi, mushrooms, mycology",;,Flora & Fauna
1580085792,Mycelium Running:  How Mushrooms Can Help Save the World ," a fascinating book detailing his research in areas like filtration of toxins before they enter waterways, assisting with forest health & productivity, remediating brownfields and nuclear contamination, and replacing toxic pesticides.  It details several ways of growing mushrooms at home and the varieties best suited for it. ",, Paul Stamets ,"fungi, mushrooms, mycology",;,Flora & Fauna
1580170234,Let It Rot!  The Gardener's Guide to Composting ," a classic compost reference book.  In clear language it sets out the facts on composting with a list of materials that can and cannot go into your pile, activators to get it started, and ways to use the finished compost.  A great reference book. ",, Stu Campbell ,"soil, compost",;,Soils
1580172601,A Storey Guide to Raising Rabbits," Bob Bennett tells you everything you need to know to raise rabbits successfully. Packed with practical information, this book covers every aspect of rabbit raising, including: best breeds, feeding and management, showing and selling, housing facilities and sanitation, marketing, disease, parasite and predator control.",,Bob Bennett,"rabbits, homesteading, livestock",;,Flora & Fauna
1580174566,Barnyard in Your Backyard," Gail Damerow offers tried-and-true, expert advice on raising healthy, happy, productive farm animals: chickens, geese, ducks, rabbits, goats, sheep, and dairy cows. Each chapter focuses on a different animal, discussing the pros and cons of raising the animal, housing and land requirements, feeding guidelines, health concerns, and a schedule for routine care. ",,Gail Damerow,"homesteading, livestock",;,Flora & Fauna
1580174914,"Keep Chickens! Tending Small Flocks in Cities, Suburbs, and Other Small Spaces"," Written by a Portland chicken enthusiast in a fun, friendly style that answers all the common questions about raising backyard chickens.  Includes a nice color photo section of different breeds and a selection of municipal codes across the country.",, Barbara Kilarski ,chickens,;,Flora & Fauna
1590173139,One Straw Revolution  ," is one of the early influences on permaculture.  He developed a system of  ""no-work"" farming which entailed a minimum of labor with a maximized yield by observing nature and learning to work with it rather than against it.  It is also not just about farming, but also about diet, health, cultural values, and philosophy.  This whole-systems approach, as well as the revolutionary agricultural system it describes, make for an intriguing and thought-provoking read.",, Masanobu Fukuoka ,"permaculture, gardening",;,Food & Gardening
1603420789,Rosemary Gladstar's Herbs for the Home Medicine Chest ," a great little book that gives you an understanding of healing with herbs, how to prepare & store herbs for use, describes which herbs to use and their effects, gives instructions for how to prepare your own herbal first-aid kit, and lists ""simple & effective household remedies"" by symptom.  It also includes a list of sources for herbs if you do not grow your own.  This is a wonderful resource by a well-know and reputable herbalist.  ",, Rosemary Gladstar ,"herbs, low tech medicine",;,Preparedness & Low Energy Skills
1844030393,The Grafter's Handbook ," provides in-depth instruction in every aspect of grafting.  Covered are: reasons for grafting, compatibility, rootstocks and their propagation, scion wood preparation, tools and accessories, methods of grafting, and grafting onto established trees.  Very useful techniques for establishing your own food forest as inexpensively as possible.  ",, R.J. Garner,grafting,;,Food & Gardening
1856230023,Urban Permaculture  ," is the answer for people who think they    can't do permaculture because they don't own land.  This book is subtitled ""A Practical Handbook for Sustainable Living"" and it gives you many tools to do just  that.  There are sections about garden design for those with growing space, but there is plenty of information relevant to everyone, no matter what their living situation.  Highly recommended for people who don't have access to land but want to live more sustainably.",, David Watkins ,,;,(re)Design & Permaculture
1856230031,Permaculture in a Nutshell  ," is a beginner's guide to permaculture by a well-known British instructor/designer.  A good overview of the subject at a size that doesn't feel daunting to the reader who just wants to find out ""what IS permaculture?""    ",, Patrick Whitefield ,,;,(re)Design & Permaculture
1856230082,How to Make a Forest Garden ," is an instruction manual for designing & installing a forest garden.  He starts with ""why grow a forest garden?"" and continues with the components, design principles, preparation, maintenance, choosing plants (with chapters about different types you may want to include), and an actual example of a forest garden.  It also features a foreward by Robert Hart.  A great introductory book to forest gardens.",, Patrick Whitefield,forest gardens,;,Food & Gardening
1856230090,The Woodland Way ," is a guide to traditional management of coppice forests.  Humans have co-evolved with the woods in Europe for thousands of years.  Coppicing is cutting trees for fuel, fences, furniture, timber, and other uses in a way that allows them to regrow and be re-harvested again in the future.  Coppiced trees can live tens or hundreds of years longer than uncoppiced trees.  Learn woodlot assesment, management and traditional uses in this inspiring book.",, Ben Law,forest gardens,;,Food & Gardening
1856230260,Designing and Maintaining Your Edible Landscape-Naturally  ," is an amazing compilation of information by a professional edible landscaper.  It is full of photos, diagrams and charts on everything from the root zones of common plants to studies on companion planting to IPM to tree heights on different root stocks to sun movement and many other topics relevant to permaculture gardeners.  Even includes recipes for recommended edibles.",, Robert Kourik ,,;,(re)Design & Permaculture
1856230279,The Permaculture Garden & The Permaculture Way," a permaculture teacher in England, so all his plant lists are useful to us here in the northwest.  He is a wonderful writer and these are an excellent introduction to permaculture.  The Permaculture Garden focuses on ways to produce your own food, including aquaculture.  The Permaculture Way is about the other aspects of permaculture - household, social, ethical, and more.",, Graham Bell ,,;,(re)Design & Permaculture
1882723252,Making the Best of Basics: Family Preparedness Handbook ," explains the concept of family preparedness and reasons to practice ""in-home"" storage.  It covers potential problems such as contamination and spoilage, and their solutions.  The book then details the storage of water, grains, dairy, fruits & vegetables, and energy & fuels.  It includes many recipes for all the types of stored food, and tables for how much to store & how long it will keep.",, James Talmage Stevens ,,;,(re)Design & Permaculture
1890132276,Four-Season Harvest: Organic Vegetables from Your Garden All Year Long ," describes a type of gardening where, rather than have large harvests at a few times in the year, you have a steady supply of fresh food year-round.  Using season extenders and planting cold-weather crops works in Mr. Coleman's garden in Maine, and gardeners in the Pacific NW will be able to expand on his ideas for even more varied winter and spring produce options.",, Elliot Coleman ,"gardening, all seasons",;,Food & Gardening
1890132365,Extreme Simplicity: Homesteading in the City ," written by a couple who have decided to practice homesteading in the city, in east Los Angeles county.  Their efforts to live lightly on the earth in an urban setting are set out in this book.  They grow much of their own food, forage for wild edibles, raise animals, catch rainwater, reuse everything possible (this section especially has many good ideas), and have worked out their ""economics of self-reliance.""  A good introductory book towards increasing urban sustainability.",, Christopher and Dolores Lynn Nyerges ,,;,Preparedness & Low Energy Skills
1890132527,Gaia's Garden  ," is an awesome introduction to how Nature gardens, why it works, and why we should attempt to emulate it.  Toby is able to explain the complex interactions between living things in a very clear and compelling manner.  He also has MANY plant lists for many different functions of plants.  It's a great way to learn about sustainable gardening and pick up a lot of permaculture along the way.  An excellent ""starter"" book for gardeners wanting to learn about permaculture. ",, Toby Hemenway ,,;,(re)Design & Permaculture
1890132608,Edible Forest Gardens Volumes I and II ," is an incredible fund of ecological & design information by a ""first generation"" permaculture instructor and designer.  Volume I, Ecological Vision and Theory for Temperate Climate Permaculture covers the vision of forest gardens and the ecology that governs them, along with case studies of featured forests.  Volume 2, Ecological Design and Practice for Temperate Climate Permaculture covers design, maintainance, and includes an extremely comprehensive ""plant matrix.""  This textbook-quality work is a landmark in temperate climate forest garden design. ",, David Jacke,forest gardens,;,Food & Gardening
1890132721,Breed Your Own Vegetable Varieties: The Gardener's and Farmer's Guide to Plant Breeding and Seed Saving ,"  an important work on the small-scale development of new vegetable varieties.  This is crucial to help assure our future in regards to nutrition and food security.  Plants that perform marginally in our climate can be bred to be better-adapted, and those with especially desirable characteristics can be stabilized and propagated.  And as Ms. Deppe asserts, it's also fun!",, Carol Deppe ,plant breeding,;,Food & Gardening
1931498237,"Wild Fermentation: The Flavor, Nutrition, and Craft of Live-Culture Foods "," explores the world of home-made fermented foods, from krauts & kimchees to yogurt & cheese, miso & tempeh, sourdough bread, and beers, wines & meads.  The fermentations are ""wild"" because many are made by allowing wild rather than cultured yeasts to ferment the foods.  A fun way to add healthy and delicious foods to your daily diet.  ",, Sandor Katz,fermentation,;,Food & Gardening 
1931498407,Perennial Vegetables ," is a great new resource for perennial edibles, many of which grow in our temperate climate.  Perennial vegetables are an important part of sustainable gardening, and this book is the first to bring them together in a comprehensive growing guide.  Information is given on range, history, description, cultivation, climate, tolerances, naturalization status, pest problems, propagation, harvest & storage, uses, and ""related species & breeding potential.""",, Eric Toensmeier,Perennial Vegetables ,;,Food & Gardening
1933392452,When Technology Fails: A Manual for Self-Reliance & Planetary Survival ," an invaluable reference for almost any conceivable emergency or loss of grid services.  It is well-researched and contains many references for each chapter.  Topics covered include possible futures, water, food, shelter, first aid, energy heat & power, metalworking, engineering, and ""better living through low-tech chemistry.""  Extremely useful for either short- or long-term disruptions in services.",, Matthew Stein ,,;,Preparedness & Low Energy Skills
1933392592,"Preserving Food without Freezing or Canning: Traditional Techniques Using Salt, Oil, Sugar, Alcohol, Vinegar, Drying, Cold Storage, and Lactic Fermentation "," The Gardeners and Farmers of Centre Terre Vivante (also found under the title Keeping Food Fresh: Old World Techniques and Recipes) is a compilation of food preservation recipes from the readers of a French organic gardening magazine.  All recipes are low-tech, using the ground, drying, fermentation, oil, vinegar, salt, sugar, or alcohol to keep foods fresh.  An intriguing angle on food preservation.",,,Food preservation,;,Food & Gardening 
9562914488,US Army Survival Manual ," a reprint of the Army Field Manual and is relevant to being caught in an emergency away from home.  It covers topics such as survival medicine, weapons & tools, food, fire building, water crossings, direction finding, signaling, desert/tropical/arctic & sea survival, knots, poisonous snakes, and weather indicators.  Be ready for anything!",, Department of the Army ,survivial skills,;,Preparedness & Low Energy Skills
068404711X,The Earth User's Guide to Permaculture  ," is a workbook written by an Australian teacher.  At the end of each chapter are a set of questions/activities.  If you read the book and do the activities as listed, by the time you are done you have created a permaculture design for your own property.  Her style is accessible and the illustrations are great - a wonderful first look at permaculture.",, Rosemary Morrow ,,;,(re)Design & Permaculture
086571553X,Gardening When It Counts ," are recommended reading for anyone interested in growing their own food.  Growing Vegetables is a detailed primer for growing vegetables in our climate, and Gardening takes you to the next level with instructions for growing healthy & nutritious plants from seed without irrigation by using human labor & hand tools.  Also includes great information on compost & fertilizers.",, Steve Solomon,"gardening, homesteading, survivial skills",;,Food & Gardening
087156758X,The Gardener's Handbook of Edible Plants ," an alphabetical listing of edible plants from almonds to wild rice, starting with an ""effort scale"" from 1-5 (one being the easiest) of how difficult the plant is to grow.  It also includes a thumbnail sketch of the plant, how to use it, how to grow it, and suggestions on how to preserve it.  Includes tree crops, berries, perennials, herbs, & annual vegetables.",, Rosalind Creasy ,edible plants,;,Food & Gardening
088266249X,Growing and Using Herbs Successfully ," useful to anyone wanting to grow a few herbs, grow a lot of herbs, or to start an herb business.  She details 64 herb plants and covers propagation, growing, harvesting and storing them.  There are also chapters on creating an herb business, and herb products you can make.  A great resource for beginning herb growers.",, Betty E.M. Jacobs ,herbs,;,Food & Gardening
091657105X,Real Goods Solar Living Sourcebook 12th Edition: The Complete Guide to Renewable Energy Technologies & Sustainable Living ," is a large and detailed collection of information on and sources for all sorts of systems including solar (active & passive), water, water heating, water & air purification, composting toilets, graywater, and other off-the-grid options.  Also includes land & shelter, emergency preparedness, energy conservation & more.",, John Schaeffer,renewable energy,;,Energy
096358412X,The Orchard Mason Bee," explains the life cycle of one of our most important native pollinators, the Mason bee.  Mason bees start to work in Feb/March, when many fruit trees are blooming but honeybees have not yet emerged.  As solitary bees, Mason bees are not subject to colony collapse or other hive-related disorders.  Creating habitat for these insect allies will help you maintain a more productive garden, as well as support a helpful native species.",, Brian L. Griffin,bees,;,Flora & Fauna
097724640X,Rainwater Harvesting for Dryland and Beyond Volume I ," is the core of the complete three-volume guide on how to conceptualize, design, and implement sustainable water-harvesting systems for your home, landscape, and community.  Because the Pacific NW is so wet 3 seasons of the year, we tend to forget that we have almost drought conditions by the end of summer, and supplemental water is needed for our plants as well as our own use.  This well-researched guide will help you become more sustainable in an important way.",, Brad Lancaster,rain water,;,Air & Water
157061377X,The Encyclopedia of County Living: An Old Fashioned Recipe Book ," a compendium of knowledge and skills for independent living.  Her definition of  ""country"" is anywhere you can garden & raise animals.  She details skills such as choosing your land, emergency storage, living simply, keeping the house warm, giving birth by yourself, caring for your dead, clothing, quilting, candle making, money management, an extensive gardening section, wood heat and cooking, food preservation, animals, making dairy products, soap making, and more.",, Carla Emery ,,;,Preparedness & Low Energy Skills
